words,southwest_lng,southwest_lat,northeast_lng,northeast_lat,nearestPlace,pt_lng,pt_lat,country,language
recessions.penguin.even,-123.625357,63.009514,-123.625297,63.009541,"Wrigley, Northwest Territories",-123.625327,63.009527,CA,en
techy.penguin.from,-108.260627,52.462753,-108.260583,52.46278,"Wilkie, Saskatchewan",-108.260605,52.462767,CA,en
techno.penguin.from,70.97255,46.804657,70.97259,46.804684,"Zhambyl, Karaganda Region",70.97257,46.804671,KZ,en
techy.penguin.also,132.796536,-30.233371,132.796567,-30.233344,"Yalata, South Australia",132.796551,-30.233358,AU,en
immigration.penguin.deep,120.049251,-26.805654,120.049281,-26.805627,"Leinster, Western Australia",120.049266,-26.805641,AU,en
immigration.penguin.part,150.633126,-24.17044,150.633156,-24.170413,"Biloela, Queensland",150.633141,-24.170426,AU,en
immigration.penguin.help,146.404273,-20.395429,146.404302,-20.395402,"Charters Towers, Queensland",146.404287,-20.395416,AU,en
sorbet.penguin.quit,5.403314,13.753423,5.403342,13.75345,"Illela, Sokoto",5.403328,13.753436,NG,en
sorbet.penguin.quiz,68.554516,38.908069,68.554551,38.908096,"Varzob, Districts of Republican Subordination",68.554534,38.908083,TJ,en
sorbet.penguin.quad,-12.508339,10.591527,-12.508311,10.591553,"Dalaba, Mamou",-12.508325,10.59154,GN,en
beverage.penguin.from,120.477138,-24.481673,120.477168,-24.481646,"Jigalong, Western Australia",120.477153,-24.48166,AU,en
beverage.penguin.over,141.973603,-24.327215,141.973633,-24.327188,"Windorah, Queensland",141.973618,-24.327202,AU,en
beverage.penguin.part,-85.636556,32.843359,-85.636524,32.843386,"Dadeville, Alabama",-85.63654,32.843373,US,en
abandoned.penguin.also,-101.575185,65.960948,-101.575119,65.960975,"Garry Lake, Nunavut",-101.575152,65.960961,CA,en
abandoned.penguin.case,-129.33556,59.43653,-129.335507,59.436557,"Watson Lake, Yukon",-129.335533,59.436543,CA,en
abandoned.penguin.best,-83.491646,74.644863,-83.491544,74.64489,"Arctic Bay, Nunavut",-83.491595,74.644877,CA,en
exciting.penguin.just,-128.93142,62.117454,-128.931362,62.117481,"Ross River, Yukon",-128.931391,62.117467,CA,en
excitable.penguin.just,-114.943927,60.854463,-114.943872,60.85449,"Hay River, Northwest Territories",-114.9439,60.854477,CA,en
exciting.penguin.into,-74.246862,49.855245,-74.246821,49.855272,"Chibougamau, Quebec",-74.246842,49.855258,CA,en
miseries.penguin.just,135.029034,-13.234153,135.029061,-13.234126,"Alyangula, Northern Territory",135.029048,-13.234139,AU,en
miseries.penguin.much,-90.1,34.73957,-90.099967,34.739597,"Coldwater, Mississippi",-90.099984,34.739583,US,en
miseries.penguin.full,124.009214,-23.220219,124.009243,-23.220192,"Kumpupintil, Western Australia",124.009228,-23.220205,AU,en
discard.penguin.even,129.660756,49.655967,129.660798,49.655994,"Novoraychikhinsk, Amur Oblast",129.660777,49.65598,RU,en
discard.penguin.over,-53.795361,-1.886724,-53.795334,-1.886697,"Monte Alegre, Pará",-53.795348,-1.88671,BR,en
discard.penguin.give,-105.06453,27.952674,-105.064499,27.952701,"La Cruz, Chihuahua",-105.064515,27.952687,MX,en
objects.penguin.with,141.000986,-21.587619,141.001015,-21.587592,"Cloncurry, Queensland",141.001,-21.587605,AU,en
obscure.penguin.with,122.553356,-29.022504,122.553386,-29.022477,"Kalgoorlie, Western Australia",122.553371,-29.022491,AU,en
objects.penguin.will,-103.135711,34.342578,-103.135678,34.342605,"Clovis, New Mexico",-103.135694,34.342591,US,en
gain.penguin.they,-119.633373,35.781722,-119.63334,35.781749,"Alpaugh, California",-119.633357,35.781735,US,en
gain.penguin.many,116.8287,-24.771615,116.82873,-24.771588,"Paraburdoo, Western Australia",116.828715,-24.771601,AU,en
gain.penguin.only,123.20049,-22.403649,123.200519,-22.403622,"Kumpupintil, Western Australia",123.200504,-22.403636,AU,en
satellite.penguin.zone,131.55813,-28.87341,131.558161,-28.873383,"Watarru, South Australia",131.558146,-28.873396,AU,en
satellite.penguin.jazz,115.382276,-22.629851,115.382305,-22.629824,"Paraburdoo, Western Australia",115.38229,-22.629838,AU,en
satellite.penguin.lazy,-154.925395,19.596782,-154.925366,19.596809,"Hawaiian Paradise Park, Hawaii",-154.925381,19.596795,US,en
